sheet,key,row_idx,target_lang,status
TUTO,ACADEMIES_TITLE,2,Russian,OK
TUTO,ACADEMIES_PAGE_1_TITLE,3,Russian,OK
TUTO,ACADEMIES_PAGE_1_DESC,4,Russian,OK
TUTO,ACADEMYCHOOSECAREER_TITLE,5,Russian,OK
TUTO,ACADEMYCHOOSECAREER_PAGE_1_TITLE,6,Russian,OK
TUTO,ACADEMYCHOOSECAREER_PAGE_1_DESC,7,Russian,OK
TUTO,ACADEMYCREATIONPART1_TITLE,8,Russian,OK
TUTO,ACADEMYCREATIONPART1_PAGE_1_TITLE,9,Russian,OK
TUTO,ACADEMYCREATIONPART1_PAGE_1_DESC,10,Russian,OK
TUTO,ACADEMYCREATIONPART2_TITLE,11,Russian,OK
TUTO,ACADEMYCREATIONPART2_PAGE_1_TITLE,12,Russian,OK
TUTO,ACADEMYCREATIONPART2_PAGE_1_DESC,13,Russian,OK
TUTO,ACADEMYPLAYERS_TITLE,14,Russian,OK
TUTO,ACADEMYPLAYERS_PAGE_1_TITLE,15,Russian,OK
TUTO,ACADEMYPLAYERS_PAGE_1_DESC,16,Russian,OK
TUTO,ACADEMYPLAYERS_PAGE_2_TITLE,17,Russian,OK
TUTO,ACADEMYPLAYERS_PAGE_2_DESC,18,Russian,OK
TUTO,ACADEMYPLAYERS_PAGE_3_TITLE,19,Russian,OK
TUTO,ACADEMYPLAYERS_PAGE_3_DESC,20,Russian,OK
TUTO,BRIEFING_TITLE,21,Russian,OK
TUTO,BRIEFING_PAGE_1_TITLE,22,Russian,OK
TUTO,BRIEFING_PAGE_1_DESC,23,Russian,OK
TUTO,BRIEFING_PAGE_2_TITLE,24,Russian,OK
TUTO,BRIEFING_PAGE_2_DESC,25,Russian,OK
TUTO,CIRCUITRECORDS_TITLE,26,Russian,OK
TUTO,CIRCUITRECORDS_PAGE_1_TITLE,27,Russian,OK
TUTO,CIRCUITRECORDS_PAGE_1_DESC,28,Russian,OK
TUTO,CIRCUITSTATSRECORDS_TITLE,29,Russian,OK
TUTO,CIRCUITSTATSRECORDS_PAGE_1_TITLE,30,Russian,OK
TUTO,CIRCUITSTATSRECORDS_PAGE_1_DESC,31,Russian,OK
TUTO,FINANCE_TITLE,32,Russian,OK
TUTO,FINANCE_PAGE_1_TITLE,33,Russian,OK
TUTO,FINANCE_PAGE_1_DESC,34,Russian,OK
TUTO,INBOX_TITLE,35,Russian,OK
TUTO,INBOX_PAGE_1_TITLE,36,Russian,OK
TUTO,INBOX_PAGE_1_DESC,37,Russian,OK
TUTO,INBOX_PAGE_2_TITLE,38,Russian,OK
TUTO,INBOX_PAGE_2_DESC,39,Russian,OK
TUTO,INBOX_PAGE_3_TITLE,40,Russian,OK
TUTO,INBOX_PAGE_3_DESC,41,Russian,OK
TUTO,INBOX_PAGE_4_TITLE,42,Russian,OK
TUTO,INBOX_PAGE_4_DESC,43,Russian,OK
TUTO,INBOX_PAGE_5_TITLE,44,Russian,OK
TUTO,INBOX_PAGE_5_DESC,45,Russian,OK
TUTO,MANAGERCREATIONPART1_TITLE,46,Russian,OK
TUTO,MANAGERCREATIONPART1_PAGE_1_TITLE,47,Russian,OK
TUTO,MANAGERCREATIONPART1_PAGE_1_DESC,48,Russian,OK
TUTO,MANAGERCREATIONPART2_TITLE,49,Russian,OK
TUTO,MANAGERCREATIONPART2_PAGE_1_TITLE,50,Russian,OK
TUTO,MANAGERCREATIONPART2_PAGE_1_DESC,51,Russian,OK
TUTO,MANAGERRECORDS_TITLE,52,Russian,OK
TUTO,MANAGERRECORDS_PAGE_1_TITLE,53,Russian,OK
TUTO,MANAGERRECORDS_PAGE_1_DESC,54,Russian,OK
TUTO,MATCH_TITLE,55,Russian,OK
TUTO,MATCH_PAGE_1_TITLE,56,Russian,OK
TUTO,MATCH_PAGE_1_DESC,57,Russian,OK
TUTO,MATCH_PAGE_2_TITLE,58,Russian,OK
TUTO,MATCH_PAGE_2_DESC,59,Russian,OK
TUTO,MATCH_PAGE_3_TITLE,60,Russian,OK
TUTO,MATCH_PAGE_3_DESC,61,Russian,OK
TUTO,MATCH_PAGE_4_TITLE,62,Russian,OK
TUTO,MATCH_PAGE_4_DESC,63,Russian,OK
TUTO,MATCH_PAGE_5_TITLE,64,Russian,OK
TUTO,MATCH_PAGE_5_DESC,65,Russian,OK
TUTO,MATCH_PAGE_6_TITLE,66,Russian,OK
TUTO,MATCH_PAGE_6_DESC,67,Russian,OK
TUTO,MATCH_PAGE_7_TITLE,68,Russian,OK
TUTO,MATCH_PAGE_7_DESC,69,Russian,OK
TUTO,MATCH_PAGE_8_TITLE,70,Russian,OK
TUTO,MATCH_PAGE_8_DESC,71,Russian,OK
TUTO,NEWS_TITLE,72,Russian,OK
TUTO,NEWS_PAGE_1_TITLE,73,Russian,OK
TUTO,NEWS_PAGE_1_DESC,74,Russian,OK
TUTO,OBJECTIVES_TITLE,75,Russian,OK
TUTO,OBJECTIVES_PAGE_1_TITLE,76,Russian,OK
TUTO,OBJECTIVES_PAGE_1_DESC,77,Russian,OK
TUTO,PLAYERCONTRACTMENU_TITLE,78,Russian,OK
TUTO,PLAYERCONTRACTMENU_PAGE_1_TITLE,79,Russian,OK
TUTO,PLAYERCONTRACTMENU_PAGE_1_DESC,80,Russian,OK
TUTO,PLAYERCONTRACTMENU_PAGE_2_TITLE,81,Russian,OK
TUTO,PLAYERCONTRACTMENU_PAGE_2_DESC,82,Russian,OK
TUTO,PLAYERCONTRACTMENU_PAGE_3_TITLE,83,Russian,OK
TUTO,PLAYERCONTRACTMENU_PAGE_3_DESC,84,Russian,OK
TUTO,PLAYERCREATIONPART1_TITLE,85,Russian,OK
TUTO,PLAYERCREATIONPART1_PAGE_1_TITLE,86,Russian,OK
TUTO,PLAYERCREATIONPART1_PAGE_1_DESC,87,Russian,OK
TUTO,PLAYERCREATIONPART2_TITLE,88,Russian,OK
TUTO,PLAYERCREATIONPART2_PAGE_1_TITLE,89,Russian,OK
TUTO,PLAYERCREATIONPART2_PAGE_1_DESC,90,Russian,OK
TUTO,PLAYERCREATIONPART3_TITLE,91,Russian,OK
TUTO,PLAYERCREATIONPART3_PAGE_1_TITLE,92,Russian,OK
TUTO,PLAYERCREATIONPART3_PAGE_1_DESC,93,Russian,OK
TUTO,PLAYERCREATIONPART5_TITLE,94,Russian,OK
TUTO,PLAYERCREATIONPART5_PAGE_1_TITLE,95,Russian,OK
TUTO,PLAYERCREATIONPART5_PAGE_1_DESC,96,Russian,OK
TUTO,PLAYEROBJECTIVES_TITLE,97,Russian,OK
TUTO,PLAYEROBJECTIVES_PAGE_1_TITLE,98,Russian,OK
TUTO,PLAYEROBJECTIVES_PAGE_1_DESC,99,Russian,OK
TUTO,PLAYEROVERVIEW_TITLE,100,Russian,OK
TUTO,PLAYEROVERVIEW_PAGE_1_TITLE,101,Russian,OK
TUTO,PLAYEROVERVIEW_PAGE_1_DESC,102,Russian,OK
TUTO,PLAYEROVERVIEW_PAGE_2_TITLE,103,Russian,OK
TUTO,PLAYEROVERVIEW_PAGE_2_DESC,104,Russian,OK
TUTO,PLAYERRANKING_TITLE,105,Russian,OK
TUTO,PLAYERRANKING_PAGE_1_TITLE,106,Russian,OK
TUTO,PLAYERRANKING_PAGE_1_DESC,107,Russian,OK
TUTO,PLAYERRECORDS_TITLE,108,Russian,OK
TUTO,PLAYERRECORDS_PAGE_1_TITLE,109,Russian,OK
TUTO,PLAYERRECORDS_PAGE_1_DESC,110,Russian,OK
TUTO,PLAYERREPORTS_TITLE,111,Russian,OK
TUTO,PLAYERREPORTS_PAGE_1_TITLE,112,Russian,OK
TUTO,PLAYERREPORTS_PAGE_1_DESC,113,Russian,OK
TUTO,PLAYERREPORTS_PAGE_2_TITLE,114,Russian,OK
TUTO,PLAYERREPORTS_PAGE_2_DESC,115,Russian,OK
TUTO,PLAYERSELECTION_TITLE,116,Russian,OK
TUTO,PLAYERSELECTION_PAGE_1_TITLE,117,Russian,OK
TUTO,PLAYERSELECTION_PAGE_1_DESC,118,Russian,OK
