sheet,key,row_idx,target_lang,status
PLAYER,ATTRIBUTE,2,Portuguese_BR,NO_TRANSLATION
PLAYER,ATTRIBUTES,3,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_MENT,4,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_MENT_01,5,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_MENT_02,6,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_MENT_03,7,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_MENT_04,8,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_MENT_05,9,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_MENT_06,10,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_MENT_07,11,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_MENT_08,12,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_PHY,13,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_PHY_01,14,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_PHY_02,15,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_PHY_03,16,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_PHY_04,17,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_PHY_05,18,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_PHY_06,19,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_PHY_07,20,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_RAD_01,21,Portuguese_BR,NO_TRANSLATION
PLAYER,ATT_RAD_02,22,Portuguese_BR,OK
PLAYER,ATT_RAD_03,23,Portuguese_BR,OK
PLAYER,ATT_RAD_04,24,Portuguese_BR,OK
PLAYER,ATT_RAD_05,25,Portuguese_BR,OK
PLAYER,ATT_RAD_06,26,Portuguese_BR,OK
PLAYER,ATT_RAD_07,27,Portuguese_BR,OK
PLAYER,ATT_RAD_08,28,Portuguese_BR,OK
PLAYER,ATT_TECH,29,Portuguese_BR,OK
PLAYER,ATT_TECH_01,30,Portuguese_BR,OK
